Frequency [Hz]	Real_part [V/V]	Imag_part [V/V]
9.999999999621422830e+03	9.760202133799994462e-01	-2.133635705892720190e-03
2.243749999930599733e+04	9.911286732816593226e-01	2.722947093662219775e-03
3.487499999899057730e+04	1.011198058255573073e+00	-3.063800952885806575e-02
4.731249999867514998e+04	1.015838272774859607e+00	-5.599973582332617300e-02
5.974999999835972267e+04	1.016218474486726642e+00	-8.118499116578556385e-02
7.218749999804429535e+04	1.017832223034896622e+00	-1.064381746699273740e-01
8.462499999772888259e+04	1.015845309118990958e+00	-1.322306063368655638e-01
9.706249999741345528e+04	1.016453497277482798e+00	-1.532783897745789992e-01
1.094999999970980280e+05	1.009852479499541156e+00	-1.760521489900615244e-01
1.219374999967826006e+05	1.007044302094223909e+00	-2.018073775686541615e-01
1.343749999964671733e+05	1.004108380360629882e+00	-2.233746245640030048e-01
1.468124999961517460e+05	9.985999019695153134e-01	-2.445550534565115175e-01
1.592499999958363478e+05	9.936298991753372833e-01	-2.665863319879992477e-01
1.716874999955209205e+05	9.854130485360801384e-01	-2.882542510761697541e-01
1.841249999952054932e+05	9.825971113016918057e-01	-3.073784223606265686e-01
1.965624999948900659e+05	9.811998191897735033e-01	-3.306027862092355551e-01
2.089999999945746385e+05	9.767004559406466946e-01	-3.570028926564511873e-01
2.214374999942592112e+05	9.625459300221220760e-01	-3.802419151661325936e-01
2.338749999939437839e+05	9.522640356290993369e-01	-3.998714791617091757e-01
2.463124999936283566e+05	9.426659421752017209e-01	-4.185440800503241188e-01
2.587499999933129293e+05	9.345194081126986241e-01	-4.400421588111771976e-01
2.711874999929975020e+05	9.242892514480930410e-01	-4.593976656450786122e-01
2.836249999926820747e+05	9.135762971934567878e-01	-4.791612128983182006e-01
2.960624999923666473e+05	9.035194172791868317e-01	-4.977018690443805737e-01
3.084999999920512200e+05	8.915329785163442766e-01	-5.176183610348822350e-01
3.209374999917357927e+05	8.808936357899936898e-01	-5.368451798364660688e-01
3.333749999914204236e+05	8.692412555958053400e-01	-5.560211921641969868e-01
3.458124999911049963e+05	8.578649795991275528e-01	-5.746362104646788316e-01
