Frequency [Hz]	Real_part [V/V]	Imag_part [V/V]
9.999999999621422830e+03	9.233610594920765857e-01	-5.207282716019321668e-03
3.974374999993201927e+05	9.233213121210781527e-01	-1.939452889651836764e-01
7.848749999990189681e+05	8.657562076774667492e-01	-3.837160321558459319e-01
1.172312499998717802e+06	7.686052941057098797e-01	-5.557041701581761917e-01
1.559749999998416519e+06	6.388098924653866639e-01	-7.055469019896122296e-01
1.947187499998115469e+06	4.831050568454607341e-01	-8.265528902269446698e-01
2.334624999997814186e+06	3.038370689627634125e-01	-9.116494166167190549e-01
2.722062499997512903e+06	1.087957670283385553e-01	-9.601525010969300666e-01
3.109499999997211620e+06	-9.187707518276916341e-02	-9.684643799540335607e-01
3.496937499996910337e+06	-2.930417869915692974e-01	-9.368062761938785732e-01
3.884374999996609520e+06	-4.825245398941965802e-01	-8.614428513921666974e-01
4.271812499996308237e+06	-6.577098390471163292e-01	-7.494625900107267924e-01
4.659249999996006489e+06	-8.063697392808060194e-01	-6.038816661331368740e-01
5.046687499995705672e+06	-9.230652623522849209e-01	-4.288679916986002372e-01
5.434124999995404854e+06	-1.004544564548272900e+00	-2.337827630838469339e-01
5.821562499995103106e+06	-1.042977378621325890e+00	-2.045113355263230084e-02
6.208999999994802289e+06	-1.041090167585724702e+00	1.986954665725765290e-01
6.596437499994500540e+06	-9.930891993299800768e-01	4.156340359361357373e-01
6.983874999994199723e+06	-9.024197944056091547e-01	6.229823657421852401e-01
7.371312499993897974e+06	-7.690065867146730350e-01	8.121849196967892981e-01
7.758749999993597157e+06	-5.978368098006877629e-01	9.735273723954844804e-01
8.146187499993296340e+06	-3.925783207017067289e-01	1.101418495511104600e+00
8.533624999992994592e+06	-1.606064647355034403e-01	1.188369856429548843e+00
8.921062499992692843e+06	9.001476549934497862e-02	1.227826182166028790e+00
9.308499999992392957e+06	3.529937542733624922e-01	1.216603281517383728e+00
9.695937499992091209e+06	6.160074665879261557e-01	1.152908763177292517e+00
1.008337499999178946e+07	8.695701715883314975e-01	1.033814035342674575e+00
1.047081249999148957e+07	1.106430822412824977e+00	8.622435062523732263e-01
1.085824999999118783e+07	1.309761783659454615e+00	6.367695691324616325e-01
1.124568749999088608e+07	1.475343634171217611e+00	3.639079198377557778e-01
1.163312499999058433e+07	1.592081498985037813e+00	5.038922858758689005e-02
1.202056249999028444e+07	1.649502508213991359e+00	-3.019866882602937896e-01
1.240799999998998269e+07	1.637342819962974261e+00	-6.817186230882311682e-01
1.279543749998968095e+07	1.550453853129782900e+00	-1.081778989344246433e+00
1.318287499998938106e+07	1.371295778582123592e+00	-1.489708286970971685e+00
1.357031249998907931e+07	1.094031295396904024e+00	-1.894165971158300321e+00
1.395774999998877756e+07	7.049373144219703846e-01	-2.280242114614224658e+00
1.434518749998847581e+07	1.826321341155928424e-01	-2.622945970828717055e+00
1.473262499998817593e+07	-4.945049271093358567e-01	-2.895557664137317300e+00
1.512006249998787418e+07	-1.358173916762559497e+00	-3.043692593218506381e+00
1.550749999998757243e+07	-2.462215218154922614e+00	-2.979165089714237880e+00
1.589493749998727255e+07	-3.851448988323790346e+00	-2.509183971442168648e+00
1.628237499998697080e+07	-5.458127636191211884e+00	-1.228422104869923981e+00
1.666981249998666905e+07	-6.669544685806282125e+00	1.532115883881938867e+00
1.705724999998636916e+07	-5.523960400752975453e+00	5.624700990265278477e+00
1.744468749998606741e+07	-1.148030822587991828e+00	7.627716878393166589e+00
1.783212499998576567e+07	2.541008084941631218e+00	5.950150560853661119e+00
1.821956249998546392e+07	3.823567997127959472e+00	3.427858415406828119e+00
1.860699999998516217e+07	3.798518771545338346e+00	1.524433045579358215e+00
1.899443749998486042e+07	3.318797665777359462e+00	2.870050069293104689e-01
1.938187499998456240e+07	2.740128701968938429e+00	-4.837850256340447963e-01
1.976931249998426065e+07	2.171806887993056545e+00	-9.565399557872430458e-01
2.015674999998395890e+07	1.650044605679801268e+00	-1.230550022887292538e+00
2.054418749998365715e+07	1.185636338620275732e+00	-1.367921597907493236e+00
2.093162499998335540e+07	7.808215331380234936e-01	-1.406842115765756684e+00
2.131906249998305365e+07	4.345042889217458626e-01	-1.378951550814380811e+00
2.170649999998275191e+07	1.412607126162401805e-01	-1.303194091105415398e+00
2.209393749998245388e+07	-1.015667348881746923e-01	-1.193521150430751021e+00
2.248137499998215213e+07	-2.996597086599053772e-01	-1.061443626185803124e+00
2.286881249998185039e+07	-4.559209800647045507e-01	-9.150849038176310790e-01
2.325624999998154864e+07	-5.752850631960086947e-01	-7.598869039910396417e-01
2.364368749998124689e+07	-6.592465443778571244e-01	-6.023732775272819806e-01
2.403112499998094514e+07	-7.140426836695753510e-01	-4.460618779669149880e-01
2.441856249998064339e+07	-7.406767167577040789e-01	-2.953301922042617100e-01
2.480599999998034537e+07	-7.428380230393322181e-01	-1.511269485516907873e-01
2.519343749998004362e+07	-7.240627423667853613e-01	-1.651020189377399097e-02
2.558087499997974187e+07	-6.871898139762213642e-01	1.058187382144287064e-01
2.596831249997944012e+07	-6.347525210750682989e-01	2.173416143723146399e-01
2.635574999997913837e+07	-5.680937265882087805e-01	3.138494773093828405e-01
2.674318749997883663e+07	-4.905795904258722362e-01	3.971418663565706164e-01
2.713062499997853488e+07	-4.046926993634279990e-01	4.652142366133190654e-01
2.751806249997823685e+07	-3.100498445300631234e-01	5.184515625971527486e-01
2.790549999997793511e+07	-2.111763834864426315e-01	5.557731599285901103e-01
2.829293749997763336e+07	-1.084870156891919873e-01	5.754894921261556329e-01
2.868037499997733161e+07	-5.512634855697642715e-03	5.796226188027889803e-01
2.906781249997702986e+07	9.636800263516411003e-02	5.674956564871866949e-01
2.945524999997672811e+07	1.955223020764380037e-01	5.389771564085634736e-01
2.984268749997642636e+07	2.881068684696202475e-01	4.942621225880171609e-01
3.023012499997612834e+07	3.727753367769260917e-01	4.350214992691188720e-01
3.061756249997582659e+07	4.462349592874222948e-01	3.617216970314512947e-01
3.100499999997552484e+07	5.070887673985818855e-01	2.755615048569350911e-01
3.139243749997522309e+07	5.529598069894590129e-01	1.794313630129477366e-01
3.177987499997492135e+07	5.819432236509540779e-01	7.615123306254388547e-02
3.216731249997461960e+07	5.932902096447479900e-01	-3.359151817143059965e-02
3.255474999997431785e+07	5.843941708528818113e-01	-1.463135265114696160e-01
3.294218749997401983e+07	5.562215962336000130e-01	-2.568056290018343457e-01
3.332962499997371808e+07	5.059391098394455666e-01	-3.623527922863535311e-01
3.371706249997341633e+07	4.361244162906923183e-01	-4.610059216920733283e-01
3.410449999997311831e+07	3.479838514088366419e-01	-5.469243816189963692e-01
3.449193749997281283e+07	2.410181593164136271e-01	-6.163142399519854209e-01
3.487937499997251481e+07	1.200213145220641181e-01	-6.660605333460247746e-01
3.526681249997220933e+07	-1.184209608821321959e-02	-6.928696519854494751e-01
3.565424999997191131e+07	-1.501947564968443838e-01	-6.955938079439512034e-01
3.604168749997160584e+07	-2.902519156828318181e-01	-6.707861945781337099e-01
3.642912499997130781e+07	-4.296254255145506296e-01	-6.177458106754026845e-01
3.681656249997100979e+07	-5.589022569870741863e-01	-5.363737557141121659e-01
3.720399999997070432e+07	-6.763073115445642491e-01	-4.280827742809429348e-01
3.759143749997040629e+07	-7.729595299397967745e-01	-2.934549154005214877e-01
3.797887499997010082e+07	-8.455788696009922667e-01	-1.358360421968337894e-01
3.836631249996980280e+07	-8.871616540339744006e-01	3.830372549737440235e-02
3.875374999996949732e+07	-8.955655441303080888e-01	2.271186786842968319e-01
3.914118749996919930e+07	-8.650479822823334830e-01	4.211854661100116193e-01
3.952862499996890128e+07	-7.933891810081274976e-01	6.172740544416711606e-01
3.991606249996859580e+07	-6.782729901140907014e-01	8.048225330564555691e-01
4.030349999996829778e+07	-5.202007027463056987e-01	9.727509552512534352e-01
4.069093749996799231e+07	-3.199960939228103096e-01	1.117426427826177626e+00
4.107837499996769428e+07	-8.023598747945052956e-02	1.223670769363975674e+00
4.146581249996738881e+07	1.958453625786593377e-01	1.284746085255460413e+00
4.185324999996709079e+07	5.007068027846134362e-01	1.287426836805037000e+00
4.224068749996679276e+07	8.258196281083702850e-01	1.221420094946317869e+00
4.262812499996648729e+07	1.157453424310057599e+00	1.076282025348383575e+00
4.301556249996618927e+07	1.479348628845474467e+00	8.427415696730371497e-01
4.340299999996588379e+07	1.768969485136628661e+00	5.061236686756859227e-01
4.379043749996558577e+07	1.998816404317143025e+00	6.481345902953734861e-02
4.417787499996528029e+07	2.131349156551409774e+00	-4.809437445048849735e-01
4.456531249996498227e+07	2.118179632732804407e+00	-1.128423198795587723e+00
4.495274999996468425e+07	1.893275436644738852e+00	-1.851244699448463038e+00
4.534018749996437877e+07	1.384778820553588696e+00	-2.575090065008074358e+00
4.572762499996408075e+07	5.265800345186669729e-01	-3.176958639396239903e+00
4.611506249996377528e+07	-6.625551722005371680e-01	-3.439887162905526985e+00
4.650249999996347725e+07	-2.019498007752299262e+00	-3.123029304462419997e+00
4.688993749996317178e+07	-3.150252301427530099e+00	-2.133839086636747595e+00
4.727737499996287376e+07	-3.660959251515698121e+00	-7.065341224224455097e-01
4.766481249996257573e+07	-3.441665127365396426e+00	6.966905641764623569e-01
4.805224999996227026e+07	-2.333004125248753891e+00	2.193351932780102764e+00
4.843968749996197224e+07	5.801758473285205386e-02	2.871675396903298871e+00
4.882712499996166676e+07	1.892351541680495464e+00	1.726275578079430995e+00
4.921456249996136874e+07	2.280085001380603327e+00	-1.205106660575391009e-01
4.960199999996106327e+07	1.380533371619248717e+00	-1.503524142169352373e+00
4.998943749996076524e+07	-3.399308126943485775e-02	-1.835371835154641529e+00
5.037687499996046722e+07	-1.155871777981588355e+00	-1.189822262348135595e+00
5.076431249996016175e+07	-1.503024760547613026e+00	-8.360125685149438768e-02
5.115174999995986372e+07	-1.065702454045043268e+00	8.676711607259609549e-01
5.153918749995955825e+07	-1.922572455961287230e-01	1.244954447901742256e+00
5.192662499995926023e+07	6.341612802800317139e-01	9.732752656302905425e-01
5.231406249995895475e+07	1.039815857683385802e+00	2.811027876058884711e-01
5.270149999995865673e+07	8.956409944482685015e-01	-4.460277717776593431e-01
5.308893749995835871e+07	3.493374216054081494e-01	-8.660098907311165606e-01
5.347637499995805323e+07	-2.908494739529708939e-01	-8.239873336759663269e-01
5.386381249995775521e+07	-7.159537909604912764e-01	-4.006692997714131343e-01
5.425124999995744973e+07	-7.554917756040505639e-01	1.620727188565082855e-01
5.463868749995715171e+07	-4.351876646973584783e-01	5.849109658562330338e-01
5.502612499995684624e+07	5.419340267664057853e-02	6.881477408011692498e-01
5.541356249995654821e+07	4.677223001566632732e-01	4.583236038802941392e-01
5.580099999995625019e+07	6.219763323982774317e-01	3.600455888258921600e-02
5.618843749995594472e+07	4.708685372447828366e-01	-3.631253770004666537e-01
5.657587499995564669e+07	1.126939265691881964e-01	-5.571759804980220832e-01
5.696331249995534122e+07	-2.670473148351628634e-01	-4.762885569070102743e-01
5.735074999995504320e+07	-4.955722620991906968e-01	-1.801630780101707296e-01
5.773818749995473772e+07	-4.788076100133825674e-01	1.789363549083269056e-01
5.812562499995443970e+07	-2.429430745782567291e-01	4.340002048071168739e-01
5.851306249995414168e+07	9.242767920552895367e-02	4.793868419111935730e-01
5.890049999995383620e+07	3.754122820898527224e-01	3.073177409758375278e-01
5.928793749995353818e+07	4.897374076992966896e-01	-2.534626683897641536e-03
5.967537499995323271e+07	3.875234808743505677e-01	-3.212751132181302927e-01
6.006281249995293468e+07	9.856151491743575521e-02	-5.229627577066106037e-01
6.045024999995262921e+07	-2.864542415275394549e-01	-5.050299951306799207e-01
6.083768749995233119e+07	-6.219608511778620397e-01	-2.052692738581972098e-01
6.122512499995203316e+07	-6.705253830442741148e-01	3.420202451504363861e-01
6.161256249995172769e+07	-2.122680048327713620e-01	8.265662830690195806e-01
