Frequency [Hz]	Real_part [Hz/V]	Imag_part [Hz/V]
9.999999999621422830e+03	3.544358886442398280e+07	-1.152534707963804249e+06
1.349374999994878890e+05	3.210903473145667464e+07	-1.506156529971547611e+07
2.598749999993543606e+05	2.355607444378693402e+07	-2.652715488725871965e+07
3.848124999992208323e+05	1.116882977856558748e+07	-3.369341191498778760e+07
5.097499999990873039e+05	-3.054763892619423568e+06	-3.539021204826192558e+07
6.346874999989537755e+05	-1.680406759707163274e+07	-3.133782115602538735e+07
7.596249999988202471e+05	-2.784391372220474109e+07	-2.217174243562626094e+07
8.845624999986867188e+05	-3.439014436340835690e+07	-9.381193432288913056e+06
1.009499999998553190e+06	-3.535128614183033258e+07	4.981729399148584343e+06
1.134437499998419778e+06	-3.056680283054150268e+07	1.856324745448882878e+07
1.259374999998286134e+06	-2.078432965786506608e+07	2.918371871736195683e+07
1.384312499998152722e+06	-7.570381676076388918e+06	3.510628571991768479e+07
1.509249999998019077e+06	6.923438622043258511e+06	3.532951239362087101e+07
1.634187499997885665e+06	2.037284748111584410e+07	2.979285472958257794e+07
1.759124999997752020e+06	3.057121276955237240e+07	1.937959720098927245e+07
1.884062499997618608e+06	3.584956847394234687e+07	5.731852465257675387e+06
2.008999999997484963e+06	3.532162785073860735e+07	-8.926058027870094404e+06
2.133937499997351319e+06	2.900013210176327452e+07	-2.224807570438924059e+07
2.258874999997218139e+06	1.792454421313992143e+07	-3.201619419625132903e+07
2.383812499997084495e+06	3.819100450565233827e+06	-3.664359637322360277e+07
2.508749999996950850e+06	-1.101159380180058256e+07	-3.529985866347385943e+07
2.633687499996817205e+06	-2.417920221655692160e+07	-2.820895303295250610e+07
2.758624999996684026e+06	-3.353461942038810253e+07	-1.643515058204020374e+07
2.883562499996550381e+06	-3.746627648973776400e+07	-1.854030937261941144e+06
3.008499999996416736e+06	-3.532150359713257104e+07	1.318966259356020018e+07
3.133437499996283092e+06	-2.737501124868861213e+07	2.624378031720829755e+07
3.258374999996149912e+06	-1.486087527275938541e+07	3.516018913210652024e+07
3.383312499996016268e+06	2.528736981533498620e+05	3.836452947033164650e+07
3.508249999995882623e+06	1.549765713430041261e+07	3.538377372931575030e+07
3.633187499995748978e+06	2.842739395040112361e+07	2.650181542752206326e+07
3.758124999995615799e+06	3.683794302109964192e+07	1.320588909152443893e+07
3.883062499995482154e+06	3.937552934559140354e+07	-2.498378700045991223e+06
4.007999999995348509e+06	3.541104055393987149e+07	-1.800070316265384108e+07
4.132937499995214865e+06	2.556126144390513003e+07	-3.077349740459983796e+07
4.257874999995081685e+06	1.139833925460423157e+07	-3.871424015069349110e+07
4.382812499994948506e+06	-4.921096782187325880e+06	-4.039705686900890619e+07
4.507749999994814396e+06	-2.071072535719778761e+07	-3.546925617689590156e+07
4.632687499994681217e+06	-3.338744807882037014e+07	-2.459533239775653556e+07
4.757624999994547106e+06	-4.078083767047988623e+07	-9.426334815300401300e+06
4.882562499994413927e+06	-4.160805439875807613e+07	7.596810609909905121e+06
5.007499999994280748e+06	-3.554580712554758042e+07	2.370564364434913918e+07
5.132437499994146638e+06	-2.343024443566573784e+07	3.626370168957059085e+07
5.257374999994013458e+06	-7.189671285135205835e+06	4.306703535001769662e+07
5.382312499993880279e+06	1.062783609945643134e+07	4.286681472910675406e+07
5.507249999993746169e+06	2.707530719592399523e+07	3.555012379827501625e+07
5.632187499993612990e+06	3.945742316664522886e+07	2.214789847638444230e+07
5.757124999993478879e+06	4.556208019975325465e+07	4.657357409783972427e+06
5.882062499993345700e+06	4.427050970451661199e+07	-1.398994454278994352e+07
6.006999999993212521e+06	3.552009336328177899e+07	-3.089461879056343809e+07
6.131937499993078411e+06	2.058973958920872957e+07	-4.309923839120447636e+07
6.256874999992945231e+06	1.762688842128038174e+06	-4.849001050478167832e+07
6.381812499992812052e+06	-1.803913773025388643e+07	-4.585754590771042556e+07
6.506749999992677942e+06	-3.542826613649998605e+07	-3.545990408771538734e+07
6.631687499992544763e+06	-4.737992921321354806e+07	-1.870298769470880553e+07
6.756624999992410652e+06	-5.186601274007972330e+07	1.810943265335677424e+06
6.881562499992277473e+06	-4.766003991476856172e+07	2.282252158510616794e+07
7.006499999992144294e+06	-3.521392014036642015e+07	4.076280775660456717e+07
7.131437499992010184e+06	-1.625810458786655404e+07	5.253593128410330415e+07
7.256374999991877005e+06	6.314716094385226257e+06	5.579743540541584045e+07
7.381312499991743825e+06	2.878679744489897043e+07	4.962680328230024129e+07
7.506249999991609715e+06	4.744583179540771246e+07	3.462266565437722951e+07
7.631187499991476536e+06	5.875230015049260855e+07	1.285201283340510912e+07
7.756124999991342425e+06	6.040297448177158087e+07	-1.230685171749212220e+07
7.881062499991209246e+06	5.157896767018140107e+07	-3.660345299491302669e+07
8.005999999991076067e+06	3.312869032726494223e+07	-5.592948841823478788e+07
8.130937499990941957e+06	7.800018023588915356e+06	-6.632345215847233683e+07
8.255874999990808778e+06	-2.066753242533418164e+07	-6.579928357064439356e+07
8.380812499990675598e+06	-4.719118227768341452e+07	-5.323208081815104932e+07
8.505749999990541488e+06	-6.707355498869103193e+07	-2.999411498528903350e+07
8.630687499990407377e+06	-7.596662067871648073e+07	2.840735271454436588e+05
8.755624999990275130e+06	-7.150507428775206208e+07	3.292415817416493222e+07
8.880562499990141019e+06	-5.312498280171947926e+07	6.203433578394040465e+07
9.005499999990006909e+06	-2.307696837956772000e+07	8.164498287336015701e+07
9.130437499989874661e+06	1.411700991853277758e+07	8.716135289434073865e+07
9.255374999989740551e+06	5.201018616251810640e+07	7.579235838556638360e+07
9.380312499989606440e+06	8.292493624745453894e+07	4.799051762646859884e+07
9.505249999989474192e+06	9.969971584397114813e+07	7.552235265713157132e+06
9.630187499989340082e+06	9.699555429361638427e+07	-3.865187086091981828e+07
9.755124999989205971e+06	7.262099283072166145e+07	-8.103444852674561739e+07
9.880062499989073724e+06	2.938507967086846754e+07	-1.094533943788157105e+08
1.000499999998893961e+07	-2.484302192057006806e+07	-1.152031320356491208e+08
1.012993749998880550e+07	-7.797323591198204458e+07	-9.361842687028855085e+07
1.025487499998867325e+07	-1.160501046042206436e+08	-4.733678302951943129e+07
1.037981249998853914e+07	-1.272659434123826623e+08	1.405611383494526707e+07
1.050474999998840503e+07	-1.060643500720416009e+08	7.447309304472960532e+07
1.062968749998827092e+07	-5.681604158514130861e+07	1.166547328070014119e+08
1.075462499998813868e+07	6.832396532012656331e+06	1.281779561853190809e+08
1.087956249998800457e+07	6.657179953912245482e+07	1.063121097353805006e+08
1.100449999998787045e+07	1.058096384275663346e+08	5.913207141638085991e+07
1.112943749998773821e+07	1.160586516503881216e+08	1.612030027687614784e+06
1.125437499998760410e+07	9.804442662471352518e+07	-5.054520467802378535e+07
1.137931249998746999e+07	5.987790416508063674e+07	-8.505246434262163937e+07
1.150424999998733774e+07	1.371915912478660978e+07	-9.692970000138241053e+07
1.162918749998720363e+07	-2.929327244402984157e+07	-8.694251540608038008e+07
1.175412499998706952e+07	-6.061753436191167682e+07	-6.094294090628946573e+07
1.187906249998693727e+07	-7.579802202108743787e+07	-2.656839558064936474e+07
1.200399999998680316e+07	-7.478396527638813853e+07	8.078576984013816342e+06
1.212893749998666905e+07	-6.023489280062257499e+07	3.669023065186246485e+07
1.225387499998653680e+07	-3.681464911763011664e+07	5.493299630163766444e+07
1.237881249998640269e+07	-9.897238814669728279e+06	6.139088837164664268e+07
1.250374999998626858e+07	1.538778140868089534e+07	5.638860587280882895e+07
1.262868749998613447e+07	3.498322747800645977e+07	4.262775851584818959e+07
1.275362499998600222e+07	4.657331106969573349e+07	2.329610388104898855e+07
1.287856249998586811e+07	4.922337130338960141e+07	2.458413943758157548e+06
1.300349999998573400e+07	4.367131725789238513e+07	-1.671704110664209910e+07
1.312843749998560175e+07	3.170832887355367467e+07	-3.117547270894612744e+07
1.325337499998546764e+07	1.589380132752976380e+07	-3.915728981303451210e+07
1.337831249998533353e+07	-8.933663845090181567e+05	-4.028102656829793751e+07
1.350324999998520128e+07	-1.598527264245207235e+07	-3.499946891138092428e+07
1.362818749998506717e+07	-2.718168780788667127e+07	-2.473953244165565073e+07
1.375312499998493306e+07	-3.330977052358546853e+07	-1.165239182153454609e+07
1.387806249998480082e+07	-3.374557482430392504e+07	2.216311496367255226e+06
1.400299999998466671e+07	-2.914550949508137628e+07	1.461809920564470440e+07
1.412793749998453259e+07	-2.042723015576581284e+07	2.393462551279107854e+07
1.425287499998440035e+07	-9.161378464398669079e+06	2.891004895871694759e+07
1.437781249998426624e+07	2.617770325145607814e+06	2.928718729140997306e+07
1.450274999998413213e+07	1.334013934646191821e+07	2.515689567064941674e+07
1.462768749998399988e+07	2.128472914135471731e+07	1.751312309709571674e+07
1.475262499998386577e+07	2.568289312808147445e+07	7.731114672523291782e+06
1.487756249998373166e+07	2.604625902996854112e+07	-2.698771258351034950e+06
1.500249999998359755e+07	2.244074056429095566e+07	-1.217001398821296543e+07
