Frequency [Hz]	Real_part [Hz/V]	Imag_part [Hz/V]
9.999999999621422830e+03	2.658152049295024574e+07	-9.512660526647304650e+05
2.243749999930599733e+04	2.652133791598516330e+07	-2.129840235691823065e+06
3.487499999899057730e+04	2.642077478712948784e+07	-3.300098298414151184e+06
4.731249999867514998e+04	2.628322042188636959e+07	-4.457725364357258193e+06
5.974999999835972267e+04	2.611729782288232818e+07	-5.601752515039421618e+06
7.218749999804429535e+04	2.593306871572521701e+07	-6.745660239767326973e+06
8.462499999772888259e+04	2.573559981451592222e+07	-7.890070721876978874e+06
9.706249999741345528e+04	2.552599654072738439e+07	-9.060767586063414812e+06
1.094999999970980280e+05	2.529925753442108259e+07	-1.027076599516246840e+07
1.219374999967826006e+05	2.502483358676870167e+07	-1.153773177102594078e+07
1.343749999964671733e+05	2.467884816272848472e+07	-1.286762202784474753e+07
1.468124999961517460e+05	2.423175229780997708e+07	-1.424876397783155181e+07
1.592499999958363478e+05	2.365055988416841626e+07	-1.564980171980278753e+07
1.716874999955209205e+05	2.293098727331110463e+07	-1.704273488575409725e+07
1.841249999952054932e+05	2.207522909064621851e+07	-1.839991105010509491e+07
1.965624999948900659e+05	2.109496539145263657e+07	-1.969872952070197091e+07
2.089999999945746385e+05	2.002493014935569838e+07	-2.090421737428395078e+07
2.214374999942592112e+05	1.885860732283752412e+07	-2.201595219386536255e+07
2.338749999939437839e+05	1.762997399722966179e+07	-2.303958746665856242e+07
2.463124999936283566e+05	1.634245273426892236e+07	-2.396665464376165345e+07
2.587499999933129293e+05	1.501999931320042349e+07	-2.482708122930822894e+07
2.711874999929975020e+05	1.365846366152515262e+07	-2.556938683449826017e+07
2.836249999926820747e+05	1.226063082892772928e+07	-2.624282090611780435e+07
2.960624999923666473e+05	1.083348007680046186e+07	-2.682467561778203771e+07
3.084999999920512200e+05	9.379513113792086020e+06	-2.733290982868470252e+07
3.209374999917357927e+05	7.932478306265376508e+06	-2.775487527258752286e+07
3.333749999914204236e+05	6.455995134953753091e+06	-2.809249023072120175e+07
3.458124999911049963e+05	4.987762763360073790e+06	-2.835243624448229000e+07
3.582499999907895690e+05	3.486064982485038228e+06	-2.853461467142866552e+07
3.706874999904741417e+05	2.011402053673408926e+06	-2.863343638651242480e+07
3.831249999901587144e+05	5.332181431026236387e+05	-2.865717699287245423e+07
3.955624999898432870e+05	-9.564587796465220163e+05	-2.860062896482823044e+07
4.079999999895278597e+05	-2.437375696357818320e+06	-2.847845429888073727e+07
4.204374999892124324e+05	-3.874211845827564597e+06	-2.826775380092964694e+07
4.328749999888970051e+05	-5.311985954325091094e+06	-2.799774418099474534e+07
4.453124999885815778e+05	-6.734783771609826945e+06	-2.765000116317608207e+07
4.577499999882661505e+05	-8.138475960943480954e+06	-2.721526810422297567e+07
4.701874999879507232e+05	-9.513902364130681381e+06	-2.673515088857632503e+07
4.826249999876352958e+05	-1.083589313503568433e+07	-2.618181460247353092e+07
4.950624999873198685e+05	-1.214307023537842557e+07	-2.553979071562056988e+07
5.074999999870044412e+05	-1.342856643635513633e+07	-2.484478565173707157e+07
5.199374999866890139e+05	-1.463378844842346199e+07	-2.409185037099310383e+07
5.323749999863735866e+05	-1.580307505464876443e+07	-2.328153628001129255e+07
5.448124999860582175e+05	-1.694456681641616672e+07	-2.240687104042709991e+07
5.572499999857427320e+05	-1.805354041514735669e+07	-2.147539458201966435e+07
5.696874999854273628e+05	-1.907832658102681860e+07	-2.051143680724023283e+07
5.821249999851118773e+05	-2.005807534270803630e+07	-1.949225883260731772e+07
5.945624999847965082e+05	-2.099196073376493901e+07	-1.839492057979058474e+07
