Frequency [Hz]	Real_part [Hz/V]	Imag_part [Hz/V]
9.999999999621422830e+03	2.658136961588044837e+07	-9.510421467052550288e+05
1.349374999994878890e+05	2.466768137594566494e+07	-1.292539785017200187e+07
2.598749999993543606e+05	1.490642894270815141e+07	-2.488163444434031099e+07
3.848124999992208323e+05	3.172943108833738952e+05	-2.866186280332925916e+07
5.097499999990873039e+05	-1.366373294828805514e+07	-2.470687937818183005e+07
6.346874999989537755e+05	-2.359213497419714555e+07	-1.463462453705398738e+07
7.596249999988202471e+05	-2.721430813347851485e+07	-1.256976967446875758e+06
8.845624999986867188e+05	-2.387581922601328418e+07	1.186376962194432877e+07
1.009499999998553190e+06	-1.476905845980076306e+07	2.142351794560432807e+07
1.134437499998419778e+06	-2.569308827259292826e+06	2.525011076725599915e+07
1.259374999998286134e+06	9.600615163119811565e+06	2.272147570269165561e+07
1.384312499998152722e+06	1.876529611917725950e+07	1.488943404063533247e+07
1.509249999998019077e+06	2.286649300612119585e+07	3.976153023502221331e+06
1.634187499997885665e+06	2.131026508093385398e+07	-7.123465257530689240e+06
1.759124999997752020e+06	1.485669202531730942e+07	-1.584547335015301406e+07
1.884062499997618608e+06	5.400135052829610184e+06	-2.025881707187468559e+07
2.008999999997484963e+06	-4.628049795744632371e+06	-1.965725170574297756e+07
2.133937499997351319e+06	-1.282505260406381264e+07	-1.462694508423063159e+07
2.258874999997218139e+06	-1.749862631856622174e+07	-6.666110663975011557e+06
2.383812499997084495e+06	-1.785624340773227066e+07	2.217359448958136607e+06
2.508749999996950850e+06	-1.419017100318451785e+07	9.883345955231666565e+06
2.633687499996817205e+06	-7.636136328551560640e+06	1.469495585250120796e+07
2.758624999996684026e+06	4.252163018562443176e+04	1.592037192449714802e+07
2.883562499996550381e+06	7.107779590907182544e+06	1.351752866132485121e+07
3.008499999996416736e+06	1.201642994366228208e+07	8.366409794712796807e+06
3.133437499996283092e+06	1.390002729993975908e+07	1.797281901447047712e+06
3.258374999996149912e+06	1.266068489765410684e+07	-4.572436410885266028e+06
3.383312499996016268e+06	8.732402742467097938e+06	-9.442116676569873467e+06
3.508249999995882623e+06	3.298753027370253578e+06	-1.188241243888428621e+07
3.633187499995748978e+06	-2.395425286371378694e+06	-1.151677855971826054e+07
3.758124999995615799e+06	-7.083895970950347371e+06	-8.762240928914299235e+06
3.883062499995482154e+06	-9.843055553059957922e+06	-4.352461176704783924e+06
4.007999999995348509e+06	-1.027094868072166294e+07	5.828541715633901767e+05
4.132937499995214865e+06	-8.438407465195419267e+06	4.976774187741485424e+06
4.257874999995081685e+06	-5.022844976474713534e+06	7.895839837222645991e+06
4.382812499994948506e+06	-8.233906341247187229e+05	8.873425153307417408e+06
4.507749999994814396e+06	3.137785160198096652e+06	7.871445867701822892e+06
4.632687499994681217e+06	6.048000060718171299e+06	5.280088278290840797e+06
4.757624999994547106e+06	7.424337151833294891e+06	1.903436062990913400e+06
4.882562499994413927e+06	7.095911113556051627e+06	-1.595034732587974751e+06
5.007499999994280748e+06	5.304224513755349442e+06	-4.397368136607829481e+06
5.132437499994146638e+06	2.575061475146600045e+06	-5.966866144193341024e+06
5.257374999994013458e+06	-4.028732487560033915e+05	-6.143409974651618861e+06
5.382312499993880279e+06	-2.981966299652573653e+06	-5.023841638475834392e+06
5.507249999993746169e+06	-4.651982679440396838e+06	-2.944313170426322147e+06
5.632187499993612990e+06	-5.156125176339829341e+06	-4.863967852349366876e+05
5.757124999993478879e+06	-4.512460681700706482e+06	1.802412233994708862e+06
5.882062499993345700e+06	-2.994595158846709412e+06	3.431806428974716924e+06
6.006999999993212521e+06	-1.031442212766012992e+06	4.109317354991624597e+06
6.131937499993078411e+06	8.917389501816704869e+05	3.849305228548219893e+06
6.256874999992945231e+06	2.370671235345321242e+06	2.785422497792253271e+06
6.381812499992812052e+06	3.125621255667436402e+06	1.271818912026471226e+06
6.506749999992677942e+06	3.082841423549299594e+06	-2.669938896944282460e+05
6.631687499992544763e+06	2.367015569675652310e+06	-1.494839738680222072e+06
6.756624999992410652e+06	1.260328039380090777e+06	-2.172937666025115643e+06
6.881562499992277473e+06	9.339931336215860210e+04	-2.230733411961514968e+06
7.006499999992144294e+06	-8.324527027650799137e+05	-1.754229430562469177e+06
7.131437499992010184e+06	-1.339861296162063954e+06	-9.874142826624701265e+05
7.256374999991877005e+06	-1.363857397164555965e+06	-2.111190080825852056e+05
7.381312499991743825e+06	-1.018172669343981077e+06	3.672188477832600474e+05
7.506249999991609715e+06	-5.317642216228998732e+05	5.822610577160408720e+05
7.631187499991476536e+06	-1.186055289223884320e+05	4.745810870159535552e+05
7.756124999991342425e+06	5.208888385841829586e+04	1.638784925901000097e+05
7.881062499991209246e+06	-1.021157462742595671e+05	-9.838779579929589818e+04
8.005999999991076067e+06	-4.615264027685062028e+05	-1.272513556935556262e+05
8.130937499990941957e+06	-7.790185533216899494e+05	2.062566859526533226e+05
8.255874999990808778e+06	-7.873469590745142195e+05	8.093941612290432677e+05
8.380812499990675598e+06	-3.285230721023466322e+05	1.423363133719618432e+06
8.505749999990541488e+06	5.457206782372926828e+05	1.681232346600137185e+06
8.630687499990407377e+06	1.569272153420954477e+06	1.311270768915128894e+06
8.755624999990275130e+06	2.281772335294645280e+06	3.106946832991216797e+05
8.880562499990141019e+06	2.283475655122633092e+06	-1.049633729476853041e+06
9.005499999990006909e+06	1.480237343573844293e+06	-2.232865897903899662e+06
9.130437499989874661e+06	3.079035939003970270e+04	-2.807122027449468151e+06
9.255374999989740551e+06	-1.510187777690990828e+06	-2.449001825307525229e+06
9.380312499989606440e+06	-2.590781673864381853e+06	-1.286940166029504267e+06
9.505249999989474192e+06	-2.848188764570884407e+06	2.859781299125135411e+05
9.630187499989340082e+06	-2.227026393528673332e+06	1.690731031547741964e+06
9.755124999989205971e+06	-9.873986566028248053e+05	2.516928757588984445e+06
9.880062499989073724e+06	3.972186736737179453e+05	2.528203896144603379e+06
1.000499999998893961e+07	1.552845703624792397e+06	1.897361167238843627e+06
1.012993749998880550e+07	2.127296800863910001e+06	8.249865579056184506e+05
1.025487499998867325e+07	2.125688303498951253e+06	-3.144963083587118308e+05
1.037981249998853914e+07	1.613934326975887408e+06	-1.226588016042735195e+06
1.050474999998840503e+07	7.443364646481820382e+05	-1.682829188791503431e+06
1.062968749998827092e+07	-1.198953832923412265e+05	-1.719928261360519566e+06
1.075462499998813868e+07	-8.607027560541335260e+05	-1.356291243096304359e+06
1.087956249998800457e+07	-1.267142237980426056e+06	-7.556375563918513944e+05
1.100449999998787045e+07	-1.353729296627887059e+06	-7.375903074929821014e+04
1.112943749998773821e+07	-1.139792603354294319e+06	4.998086210960642202e+05
1.125437499998760410e+07	-7.110688599323973758e+05	9.149222253200284904e+05
1.137931249998746999e+07	-2.118078271564877941e+05	1.026907287649026955e+06
1.150424999998733774e+07	2.540203361740624241e+05	9.486022442961529596e+05
1.162918749998720363e+07	5.838848325832458213e+05	6.604836337957474170e+05
1.175412499998706952e+07	7.566928101295041852e+05	3.110816328034460894e+05
1.187906249998693727e+07	7.529490318530402146e+05	-4.334615644212433108e+04
1.200399999998680316e+07	5.996454212764427066e+05	-3.358441201268170262e+05
1.212893749998666905e+07	3.690969774944588426e+05	-5.167303782635969692e+05
1.225387499998653680e+07	9.475528752403669932e+04	-5.726727925820755772e+05
1.237881249998640269e+07	-1.605037287594563386e+05	-5.180003875603021006e+05
1.250374999998626858e+07	-3.095618175483418745e+05	-3.675272006190346438e+05
1.262868749998613447e+07	-3.919471295173856197e+05	-1.682497334992970864e+05
1.275362499998600222e+07	-4.051036744898848119e+05	8.898208743652252451e+03
1.287856249998586811e+07	-3.222230272584441118e+05	1.731876237967572233e+05
1.300349999998573400e+07	-2.041115972345839837e+05	2.503353653379242169e+05
1.312843749998560175e+07	-6.966053743319092609e+04	2.949118350253384560e+05
1.325337499998546764e+07	6.051667382541912957e+04	2.804041370042188792e+05
1.337831249998533353e+07	1.605171937153881299e+05	1.949916402377863706e+05
1.350324999998520128e+07	1.975744507189441065e+05	9.484127375215334177e+04
1.362818749998506717e+07	2.014672587777946610e+05	3.202098915869908524e+04
1.375312499998493306e+07	1.836264159527051379e+05	-8.290511603394232225e+04
1.387806249998480082e+07	9.082907659640439670e+04	-1.223233876842287573e+05
1.400299999998466671e+07	5.795387691947250278e+04	-1.262809443987059494e+05
1.412793749998453259e+07	2.252478274351468826e+03	-1.309696199435783055e+05
1.425287499998440035e+07	-6.918325547308185196e+04	-8.540573181620486139e+04
1.437781249998426624e+07	-9.744688780920734280e+04	-5.589034410102781112e+04
1.450274999998413213e+07	-9.516745413388140150e+04	-4.778559386832981545e+03
1.462768749998399988e+07	-6.842558373038588616e+04	9.470462330912147081e+03
1.475262499998386577e+07	-2.903055050126620336e+04	3.417910416956424888e+04
1.487756249998373166e+07	-4.298093931315804184e+03	5.393064417556223634e+04
1.500249999998359755e+07	1.321724588357131688e+04	5.557931813130264345e+04
1.512743749998346530e+07	1.887192544338684684e+03	4.202418392004746420e+04
1.525237499998333119e+07	2.454865365394718538e+04	1.374011639456032026e+04
1.537731249998319708e+07	1.659065804781350744e+04	-5.972438687215751997e+03
1.550224999998306483e+07	4.087268420956264163e+04	-1.528980665022462017e+04
1.562718749998293072e+07	-1.308456153108091894e+04	-2.184427517513666771e+03
1.575212499998279661e+07	1.457652044153766838e+03	4.086035221572856699e+03
1.587706249998266436e+07	-5.340636830706375804e+03	1.228992812404965298e+04
1.600199999998253025e+07	8.310179135905445946e+03	1.021649123933516967e+04
1.612693749998239614e+07	2.272321955858631100e+03	1.394769368292571562e+04
1.625187499998226389e+07	3.835116218568469048e+04	2.583704901912555943e+04
1.637681249998212978e+07	7.487438089801366732e+04	-2.491517974882437557e+04
1.650174999998199567e+07	5.135586061405597866e+04	-2.940975286015565871e+04
1.662668749998186342e+07	4.193609003667071374e+04	-3.578858380095952452e+04
1.675162499998172931e+07	7.238190967175148216e+03	-5.262914977586460736e+04
1.687656249998159707e+07	-2.278911090851629706e+04	-6.744427834120889020e+04
1.700149999998146296e+07	-3.415726048892266408e+04	-6.151229786567546398e+04
1.712643749998132885e+07	-6.167423748192602943e+04	-5.636863903115609719e+04
1.725137499998119473e+07	-6.386191703467472689e+04	-1.151832041561752703e+04
1.737631249998106062e+07	-5.900515459514167742e+04	3.980575297699555813e+04
1.750124999998092651e+07	-4.993888630187456874e+04	4.765492487420491670e+04
1.762618749998079613e+07	-2.058416242974678971e+04	8.524652703156019561e+04
1.775112499998066202e+07	1.502508377720275712e+04	9.402143409139630967e+04
1.787606249998052791e+07	5.321999430965964712e+04	4.952517422638172866e+04
